------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 5.3
downloading device type, android
device, Armor X10 Pro
device name, coastalwarming_15
downloading mode, auto
------------------------------,--------------------
serial number, 0403 9700 5B38 06
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 1721
time diff [logger-smartphone](sec), -1
lat, 52.125875
long, -10.110023
accuracy (m), 2.4
------------------------------,--------------------
time,temp
2023-08-26 14:45:00,26.1
2023-08-26 14:50:00,26.1
2023-08-26 14:55:00,25.9
2023-08-26 15:00:00,25.9
2023-08-26 15:05:00,25.8
2023-08-26 15:10:00,25.8
2023-08-26 15:15:00,25.7
2023-08-26 15:20:00,25.8
2023-08-26 15:25:00,26.0
2023-08-26 15:30:00,26.0
2023-08-26 15:35:00,26.0
2023-08-26 15:40:00,26.0
2023-08-26 15:45:00,25.9
2023-08-26 15:50:00,25.9
2023-08-26 15:55:00,25.9
2023-08-26 16:00:00,25.9
2023-08-26 16:05:00,25.9
2023-08-26 16:10:00,25.8
2023-08-26 16:15:00,25.9
2023-08-26 16:20:00,25.9
2023-08-26 16:25:00,25.8
2023-08-26 16:30:00,25.8
2023-08-26 16:35:00,25.8
2023-08-26 16:40:00,25.8
2023-08-26 16:45:00,25.8
2023-08-26 16:50:00,25.8
2023-08-26 16:55:00,25.8
2023-08-26 17:00:00,25.8
2023-08-26 17:05:00,25.7
2023-08-26 17:10:00,25.8
2023-08-26 17:15:00,25.8
2023-08-26 17:20:00,25.8
2023-08-26 17:25:00,25.8
2023-08-26 17:30:00,25.8
2023-08-26 17:35:00,25.8
2023-08-26 17:40:00,25.7
2023-08-26 17:45:00,25.7
2023-08-26 17:50:00,25.7
2023-08-26 17:55:00,25.7
2023-08-26 18:00:00,25.7
2023-08-26 18:05:00,25.7
2023-08-26 18:10:00,25.6
2023-08-26 18:15:00,25.6
2023-08-26 18:20:00,25.6
2023-08-26 18:25:00,25.6
2023-08-26 18:30:00,25.5
2023-08-26 18:35:00,25.5
2023-08-26 18:40:00,25.5
2023-08-26 18:45:00,25.4
2023-08-26 18:50:00,25.4
2023-08-26 18:55:00,25.4
2023-08-26 19:00:00,25.3
2023-08-26 19:05:00,25.3
2023-08-26 19:10:00,25.2
2023-08-26 19:15:00,25.2
2023-08-26 19:20:00,25.2
2023-08-26 19:25:00,25.1
2023-08-26 19:30:00,25.1
2023-08-26 19:35:00,25.1
2023-08-26 19:40:00,25.1
2023-08-26 19:45:00,24.9
2023-08-26 19:50:00,24.9
2023-08-26 19:55:00,24.9
2023-08-26 20:00:00,24.9
2023-08-26 20:05:00,24.8
2023-08-26 20:10:00,24.8
