------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 5.3
downloading device type, android
device, Armor X10 Pro
device name, coastalwarming_15
downloading mode, auto
------------------------------,--------------------
serial number, 0430 5800 B503 0C
custom name, ieemllc04a
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 1
time diff [logger-smartphone](sec), 3
lat, 53.750700
long, -9.903372
accuracy (m), 1.5
------------------------------,--------------------
time,temp
2023-09-02 12:10:08,NA
